DATE,BAMLC0A2CAAEY
2017-11-09,2.70
2017-11-10,2.76
2017-11-13,2.76
2017-11-14,2.76
2017-11-15,2.74
2017-11-16,2.76
2017-11-17,2.76
2017-11-20,2.77
2017-11-21,2.77
2017-11-22,2.73
2017-11-23,2.73
2017-11-24,2.75
2017-11-27,2.73
2017-11-28,2.74
2017-11-29,2.77
2017-11-30,2.78
2017-12-01,2.74
2017-12-04,2.77
2017-12-05,2.76
2017-12-06,2.74
2017-12-07,2.76
2017-12-08,2.76
2017-12-11,2.77
2017-12-12,2.78
2017-12-13,2.73
2017-12-14,2.73
2017-12-15,2.74
2017-12-18,2.76
2017-12-19,2.81
2017-12-20,2.83
2017-12-21,2.82
2017-12-22,2.83
2017-12-25,.
2017-12-26,2.82
2017-12-27,2.77
2017-12-28,2.79
2017-12-29,2.77
2017-12-31,2.78
2018-01-01,.
2018-01-02,2.82
2018-01-03,2.82
2018-01-04,2.83
2018-01-05,2.84
2018-01-08,2.84
2018-01-09,2.87
2018-01-10,2.87
2018-01-11,2.85
2018-01-12,2.87
2018-01-15,2.87
2018-01-16,2.87
2018-01-17,2.90
2018-01-18,2.92
2018-01-19,2.95
2018-01-22,2.96
2018-01-23,2.93
2018-01-24,2.95
2018-01-25,2.93
2018-01-26,2.97
2018-01-29,2.98
2018-01-30,3.00
2018-01-31,3.02
2018-02-01,3.05
2018-02-02,3.08
2018-02-05,3.03
2018-02-06,3.03
2018-02-07,3.09
2018-02-08,3.10
2018-02-09,3.09
2018-02-12,3.12
2018-02-13,3.14
2018-02-14,3.21
2018-02-15,3.20
2018-02-16,3.19
2018-02-19,3.19
2018-02-20,3.22
2018-02-21,3.26
2018-02-22,3.23
2018-02-23,3.21
2018-02-26,3.20
2018-02-27,3.24
2018-02-28,3.26
2018-03-01,3.21
2018-03-02,3.26
2018-03-05,3.28
2018-03-06,3.27
2018-03-07,3.28
2018-03-08,3.27
2018-03-09,3.29
2018-03-12,3.28
2018-03-13,3.29
2018-03-14,3.27
2018-03-15,3.29
2018-03-16,3.31
2018-03-19,3.31
2018-03-20,3.35
2018-03-21,3.36
2018-03-22,3.32
2018-03-23,3.32
2018-03-26,3.34
2018-03-27,3.30
2018-03-28,3.30
2018-03-29,3.27
2018-03-30,.
2018-03-31,3.30
2018-04-02,3.29
2018-04-03,3.33
2018-04-04,3.33
2018-04-05,3.35
2018-04-06,3.30
2018-04-09,3.30
2018-04-10,3.30
2018-04-11,3.30
2018-04-12,3.33
2018-04-13,3.33
2018-04-16,3.33
2018-04-17,3.32
2018-04-18,3.37
2018-04-19,3.39
2018-04-20,3.42
2018-04-23,3.44
2018-04-24,3.44
2018-04-25,3.47
2018-04-26,3.45
2018-04-27,3.43
2018-04-30,3.44
2018-05-01,3.48
2018-05-02,3.47
2018-05-03,3.45
2018-05-04,3.46
2018-05-07,3.46
2018-05-08,3.47
2018-05-09,3.49
2018-05-10,3.48
2018-05-11,3.47
2018-05-14,3.47
2018-05-15,3.54
2018-05-16,3.54
2018-05-17,3.54
2018-05-18,3.51
2018-05-21,3.52
2018-05-22,3.52
2018-05-23,3.47
2018-05-24,3.44
2018-05-25,3.41
2018-05-28,3.41
2018-05-29,3.27
2018-05-30,3.36
2018-05-31,3.39
2018-06-01,3.45
2018-06-04,3.48
2018-06-05,3.47
2018-06-06,3.51
2018-06-07,3.48
2018-06-08,3.48
2018-06-11,3.51
2018-06-12,3.51
2018-06-13,3.54
2018-06-14,3.51
2018-06-15,3.50
2018-06-18,3.51
2018-06-19,3.49
2018-06-20,3.52
2018-06-21,3.52
2018-06-22,3.53
2018-06-25,3.52
2018-06-26,3.52
2018-06-27,3.48
2018-06-28,3.50
2018-06-29,3.50
2018-06-30,3.51
2018-07-02,3.53
2018-07-03,3.50
2018-07-04,3.50
2018-07-05,3.50
2018-07-06,3.48
2018-07-09,3.50
2018-07-10,3.50
2018-07-11,3.48
2018-07-12,3.49
2018-07-13,3.46
2018-07-16,3.48
2018-07-17,3.49
2018-07-18,3.49
2018-07-19,3.47
2018-07-20,3.50
2018-07-23,3.54
2018-07-24,3.52
2018-07-25,3.51
2018-07-26,3.53
2018-07-27,3.52
2018-07-30,3.52
2018-07-31,3.51
2018-08-01,3.53
2018-08-02,3.51
2018-08-03,3.48
2018-08-06,3.47
2018-08-07,3.49
2018-08-08,3.49
2018-08-09,3.47
2018-08-10,3.42
2018-08-13,3.44
2018-08-14,3.46
2018-08-15,3.42
2018-08-16,3.43
2018-08-17,3.43
2018-08-20,3.39
2018-08-21,3.40
2018-08-22,3.39
2018-08-23,3.39
2018-08-24,3.40
2018-08-27,3.42
2018-08-28,3.44
2018-08-29,3.45
2018-08-30,3.43
2018-08-31,3.44
2018-09-03,3.44
2018-09-04,3.48
2018-09-05,3.48
2018-09-06,3.46
2018-09-07,3.52
2018-09-10,3.51
2018-09-11,3.55
2018-09-12,3.53
2018-09-13,3.53
2018-09-14,3.54
2018-09-17,3.54
2018-09-18,3.57
2018-09-19,3.59
2018-09-20,3.58
2018-09-21,3.57
2018-09-24,3.58
2018-09-25,3.59
2018-09-26,3.56
2018-09-27,3.56
2018-09-28,3.55
2018-09-30,3.58
2018-10-01,3.60
2018-10-02,3.57
2018-10-03,3.64
2018-10-04,3.68
2018-10-05,3.71
2018-10-08,3.71
2018-10-09,3.70
2018-10-10,3.70
2018-10-11,3.66
2018-10-12,3.66
2018-10-15,3.68
2018-10-16,3.68
2018-10-17,3.70
2018-10-18,3.70
2018-10-19,3.73
2018-10-22,3.73
2018-10-23,3.72
2018-10-24,3.67
2018-10-25,3.70
2018-10-26,3.66
2018-10-29,3.66
2018-10-30,3.69
2018-10-31,3.73
2018-11-01,3.72
2018-11-02,3.78
2018-11-05,3.77
2018-11-06,3.77
2018-11-07,3.77
2018-11-08,3.79
2018-11-09,3.75
2018-11-12,3.75
2018-11-13,3.73
2018-11-14,3.72
2018-11-15,3.73
2018-11-16,3.69
2018-11-19,3.69
2018-11-20,3.70
2018-11-21,3.71
2018-11-22,3.71
2018-11-23,3.71
2018-11-26,3.73
2018-11-27,3.73
2018-11-28,3.72
2018-11-29,3.73
2018-11-30,3.75
2018-12-03,3.74
2018-12-04,3.71
2018-12-05,3.71
2018-12-06,3.70
2018-12-07,3.66
2018-12-10,3.68
2018-12-11,3.70
2018-12-12,3.70
2018-12-13,3.68
2018-12-14,3.66
2018-12-17,3.62
2018-12-18,3.58
2018-12-19,3.55
2018-12-20,3.58
2018-12-21,3.58
2018-12-24,3.54
2018-12-25,.
2018-12-26,3.58
2018-12-27,3.54
2018-12-28,3.54
2018-12-31,3.51
2019-01-01,.
2019-01-02,3.50
2019-01-03,3.41
2019-01-04,3.50
2019-01-07,3.52
2019-01-08,3.55
2019-01-09,3.54
2019-01-10,3.53
2019-01-11,3.50
2019-01-14,3.50
2019-01-15,3.49
2019-01-16,3.49
2019-01-17,3.49
2019-01-18,3.50
2019-01-21,3.50
2019-01-22,3.45
2019-01-23,3.45
2019-01-24,3.40
2019-01-25,3.42
2019-01-28,3.41
2019-01-29,3.38
2019-01-30,3.35
2019-01-31,3.30
2019-02-01,3.33
2019-02-04,3.35
2019-02-05,3.33
2019-02-06,3.33
2019-02-07,3.29
2019-02-08,3.27
2019-02-11,3.29
2019-02-12,3.31
2019-02-13,3.33
2019-02-14,3.29
2019-02-15,3.30
2019-02-18,3.30
2019-02-19,3.27
2019-02-20,3.28
2019-02-21,3.31
2019-02-22,3.28
2019-02-25,3.29
2019-02-26,3.27
2019-02-27,3.30
2019-02-28,3.32
2019-03-01,3.35
2019-03-04,3.33
2019-03-05,3.33
2019-03-06,3.30
2019-03-07,3.25
2019-03-08,3.25
2019-03-11,3.26
2019-03-12,3.23
2019-03-13,3.23
2019-03-14,3.24
2019-03-15,3.21
2019-03-18,3.21
2019-03-19,3.22
2019-03-20,3.16
2019-03-21,3.15
2019-03-22,3.08
2019-03-25,3.03
2019-03-26,3.02
2019-03-27,3.00
2019-03-28,3.01
2019-03-29,3.05
2019-03-31,3.07
2019-04-01,3.14
2019-04-02,3.12
2019-04-03,3.15
2019-04-04,3.14
2019-04-05,3.14
2019-04-08,3.15
2019-04-09,3.13
2019-04-10,3.11
2019-04-11,3.14
2019-04-12,3.17
2019-04-15,3.16
2019-04-16,3.19
2019-04-17,3.19
2019-04-18,3.16
2019-04-19,.
2019-04-22,3.18
2019-04-23,3.16
2019-04-24,3.12
2019-04-25,3.13
2019-04-26,3.10
2019-04-29,3.12
2019-04-30,3.10
2019-05-01,3.11
2019-05-02,3.15
2019-05-03,3.14
2019-05-06,3.11
2019-05-07,3.08
2019-05-08,3.11
2019-05-09,3.10
2019-05-10,3.09
2019-05-13,3.05
2019-05-14,3.06
2019-05-15,3.03
2019-05-16,3.05
2019-05-17,3.05
2019-05-20,3.07
2019-05-21,3.09
2019-05-22,3.06
2019-05-23,2.99
2019-05-24,3.02
2019-05-27,3.02
2019-05-28,2.98
2019-05-29,2.96
2019-05-30,2.95
2019-05-31,2.88
2019-06-03,2.81
2019-06-04,2.85
2019-06-05,2.84
2019-06-06,2.85
2019-06-07,2.81
2019-06-10,2.86
2019-06-11,2.86
2019-06-12,2.84
2019-06-13,2.79
2019-06-14,2.80
2019-06-17,2.79
2019-06-18,2.77
2019-06-19,2.71
2019-06-20,2.67
2019-06-21,2.71
2019-06-24,2.66
2019-06-25,2.65
2019-06-26,2.69
2019-06-27,2.65
2019-06-28,2.64
2019-06-30,2.65
2019-07-01,2.68
2019-07-02,2.63
2019-07-03,2.61
2019-07-04,2.61
2019-07-05,2.70
2019-07-08,2.70
2019-07-09,2.72
2019-07-10,2.69
2019-07-11,2.73
2019-07-12,2.71
2019-07-15,2.70
2019-07-16,2.72
2019-07-17,2.68
2019-07-18,2.64
2019-07-19,2.66
2019-07-22,2.65
2019-07-23,2.67
2019-07-24,2.65
2019-07-25,2.67
2019-07-26,2.68
2019-07-29,2.65
2019-07-30,2.66
2019-07-31,2.66
2019-08-01,2.54
2019-08-02,2.53
2019-08-05,2.43
2019-08-06,2.45
2019-08-07,2.42
2019-08-08,2.45
2019-08-09,2.46
2019-08-12,2.39
2019-08-13,2.45
2019-08-14,2.38
2019-08-15,2.33
2019-08-16,2.32
2019-08-19,2.37
2019-08-20,2.33
2019-08-21,2.35
2019-08-22,2.38
2019-08-23,2.30
2019-08-26,2.32
2019-08-27,2.27
2019-08-28,2.26
2019-08-29,2.30
2019-08-30,2.28
2019-08-31,2.27
2019-09-02,2.27
2019-09-03,2.23
2019-09-04,2.22
2019-09-05,2.32
2019-09-06,2.30
2019-09-09,2.35
2019-09-10,2.43
2019-09-11,2.44
2019-09-12,2.49
2019-09-13,2.58
2019-09-16,2.52
2019-09-17,2.50
2019-09-18,2.48
2019-09-19,2.46
2019-09-20,2.43
2019-09-23,2.39
2019-09-24,2.33
2019-09-25,2.42
2019-09-26,2.38
2019-09-27,2.37
2019-09-30,2.38
2019-10-01,2.34
2019-10-02,2.30
2019-10-03,2.23
2019-10-04,2.22
2019-10-07,2.26
2019-10-08,2.24
2019-10-09,2.28
2019-10-10,2.34
2019-10-11,2.41
2019-10-14,2.40
2019-10-15,2.41
2019-10-16,2.38
2019-10-17,2.38
2019-10-18,2.37
2019-10-21,2.39
2019-10-22,2.37
2019-10-23,2.36
2019-10-24,2.37
2019-10-25,2.40
2019-10-28,2.42
2019-10-29,2.41
2019-10-30,2.39
2019-10-31,2.32
2019-11-01,2.35
2019-11-04,2.39
2019-11-05,2.44
2019-11-06,2.40
2019-11-07,2.48
2019-11-08,2.48
2019-11-11,2.48
2019-11-12,2.46
2019-11-13,2.43
2019-11-14,2.39
2019-11-15,2.41
2019-11-18,2.39
2019-11-19,2.38
2019-11-20,2.35
2019-11-21,2.38
2019-11-22,2.39
2019-11-25,2.37
2019-11-26,2.35
2019-11-27,2.37
2019-11-28,.
2019-11-29,2.37
2019-11-30,2.39
2019-12-02,2.43
2019-12-03,2.33
2019-12-04,2.39
2019-12-05,2.39
2019-12-06,2.42
2019-12-09,2.41
2019-12-10,2.42
2019-12-11,2.38
2019-12-12,2.46
2019-12-13,2.38
2019-12-16,2.42
2019-12-17,2.42
2019-12-18,2.43
2019-12-19,2.41
2019-12-20,2.42
2019-12-23,2.44
2019-12-24,2.41
2019-12-25,.
2019-12-26,2.41
2019-12-27,2.37
2019-12-30,2.38
2019-12-31,2.40
2020-01-01,.
2020-01-02,2.39
2020-01-03,2.33
2020-01-06,2.35
2020-01-07,2.36
2020-01-08,2.41
2020-01-09,2.39
2020-01-10,2.36
2020-01-13,2.37
2020-01-14,2.36
2020-01-15,2.33
2020-01-16,2.34
2020-01-17,2.35
2020-01-20,2.35
2020-01-21,2.30
2020-01-22,2.29
2020-01-23,2.27
2020-01-24,2.23
2020-01-27,2.19
2020-01-28,2.23
2020-01-29,2.18
2020-01-30,2.17
2020-01-31,2.15
2020-02-03,2.16
2020-02-04,2.22
2020-02-05,2.25
2020-02-06,2.24
2020-02-07,2.18
2020-02-10,2.15
2020-02-11,2.19
2020-02-12,2.21
2020-02-13,2.20
2020-02-14,2.18
2020-02-17,2.18
2020-02-18,2.15
2020-02-19,2.17
2020-02-20,2.14
2020-02-21,2.11
2020-02-24,2.05
2020-02-25,2.02
2020-02-26,2.01
2020-02-27,2.03
2020-02-28,1.93
2020-02-29,1.93
2020-03-02,1.91
2020-03-03,1.84
2020-03-04,1.79
2020-03-05,1.75
2020-03-06,1.68
2020-03-09,1.80
2020-03-10,1.97
2020-03-11,2.05
2020-03-12,2.28
2020-03-13,2.42
2020-03-16,2.42
2020-03-17,2.70
2020-03-18,3.13
2020-03-19,3.33
2020-03-20,3.56
2020-03-23,3.39
2020-03-24,3.22
2020-03-25,2.93
2020-03-26,2.73
2020-03-27,2.61
2020-03-30,2.49
2020-03-31,2.42
2020-04-01,2.40
2020-04-02,2.41
2020-04-03,2.39
2020-04-06,2.42
2020-04-07,2.36
2020-04-08,2.30
2020-04-09,2.13
2020-04-10,.
2020-04-13,2.07
2020-04-14,2.00
2020-04-15,1.95
2020-04-16,1.92
2020-04-17,1.94
2020-04-20,1.94
2020-04-21,1.92
2020-04-22,1.93
2020-04-23,1.91
2020-04-24,1.89
2020-04-27,1.90
2020-04-28,1.86
2020-04-29,1.84
2020-04-30,1.89
2020-05-01,1.90
2020-05-04,1.91
2020-05-05,1.91
2020-05-06,1.94
2020-05-07,1.87
2020-05-08,1.93
2020-05-11,1.96
2020-05-12,1.92
2020-05-13,1.88
2020-05-14,1.86
2020-05-15,1.85
2020-05-18,1.86
2020-05-19,1.80
2020-05-20,1.74
2020-05-21,1.71
2020-05-22,1.69
2020-05-25,1.69
2020-05-26,1.68
2020-05-27,1.69
2020-05-28,1.66
2020-05-29,1.61
2020-05-31,1.65
2020-06-01,1.65
2020-06-02,1.63
2020-06-03,1.65
2020-06-04,1.68
2020-06-05,1.67
2020-06-08,1.65
2020-06-09,1.64
2020-06-10,1.60
2020-06-11,1.62
2020-06-12,1.65
2020-06-15,1.66
2020-06-16,1.60
2020-06-17,1.59
2020-06-18,1.58
2020-06-19,1.57
2020-06-22,1.58
2020-06-23,1.58
2020-06-24,1.59
2020-06-25,1.59
2020-06-26,1.56
2020-06-29,1.56
2020-06-30,1.57
2020-07-01,1.57
2020-07-02,1.54
2020-07-03,1.54
2020-07-06,1.52
2020-07-07,1.49
2020-07-08,1.50
2020-07-09,1.47
2020-07-10,1.48
2020-07-13,1.47
2020-07-14,1.46
2020-07-15,1.45
2020-07-16,1.44
2020-07-17,1.44
2020-07-20,1.42
2020-07-21,1.39
2020-07-22,1.38
2020-07-23,1.36
2020-07-24,1.36
2020-07-27,1.38
2020-07-28,1.37
2020-07-29,1.37
2020-07-30,1.34
2020-07-31,1.35
2020-08-03,1.37
2020-08-04,1.33
2020-08-05,1.34
2020-08-06,1.33
2020-08-07,1.34
2020-08-10,1.35
2020-08-11,1.41
2020-08-12,1.42
2020-08-13,1.46
2020-08-14,1.47
2020-08-17,1.46
2020-08-18,1.45
2020-08-19,1.45
2020-08-20,1.44
2020-08-21,1.44
2020-08-24,1.43
2020-08-25,1.46
2020-08-26,1.46
2020-08-27,1.50
2020-08-28,1.49
2020-08-31,1.47
2020-09-01,1.45
2020-09-02,1.43
2020-09-03,1.41
2020-09-04,1.50
2020-09-07,1.49
2020-09-08,1.47
2020-09-09,1.49
2020-09-10,1.48
2020-09-11,1.47
2020-09-14,1.47
2020-09-15,1.47
2020-09-16,1.47
2020-09-17,1.46
2020-09-18,1.48
2020-09-21,1.47
2020-09-22,1.47
2020-09-23,1.48
2020-09-24,1.50
2020-09-25,1.52
2020-09-28,1.52
2020-09-29,1.50
2020-09-30,1.52
2020-10-01,1.52
2020-10-02,1.53
2020-10-05,1.56
2020-10-06,1.53
2020-10-07,1.55
2020-10-08,1.53
2020-10-09,1.54
2020-10-12,1.53
2020-10-13,1.49
2020-10-14,1.48
2020-10-15,1.50
2020-10-16,1.50
2020-10-19,1.50
2020-10-20,1.53
2020-10-21,1.54
2020-10-22,1.56
2020-10-23,1.55
2020-10-26,1.53
2020-10-27,1.51
2020-10-28,1.54
2020-10-29,1.57
2020-10-30,1.58
2020-10-31,1.60
2020-11-02,1.59
2020-11-03,1.60
2020-11-04,1.52
2020-11-05,1.51
2020-11-06,1.53
2020-11-09,1.58
2020-11-10,1.59
2020-11-11,1.59
2020-11-12,1.54
2020-11-13,1.54
2020-11-16,1.54
2020-11-17,1.51
2020-11-18,1.50
2020-11-19,1.48
2020-11-20,1.46
2020-11-23,1.47
2020-11-24,1.48
2020-11-25,1.48
2020-11-26,1.48
2020-11-27,1.45
2020-11-30,1.45
2020-12-01,1.49
2020-12-02,1.49
2020-12-03,1.46
2020-12-04,1.49
2020-12-07,1.47
2020-12-08,1.47
2020-12-09,1.50
2020-12-10,1.48
2020-12-11,1.47
2020-12-14,1.46
2020-12-15,1.48
2020-12-16,1.47
2020-12-17,1.47
2020-12-18,1.48
2020-12-21,1.48
2020-12-22,1.46
2020-12-23,1.48
2020-12-24,1.46
2020-12-25,.
2020-12-28,1.45
2020-12-29,1.44
2020-12-30,1.44
2020-12-31,1.42
2021-01-01,.
2021-01-04,1.42
2021-01-05,1.46
2021-01-06,1.52
2021-01-07,1.53
2021-01-08,1.53
2021-01-11,1.54
2021-01-12,1.55
2021-01-13,1.51
2021-01-14,1.53
2021-01-15,1.51
2021-01-18,1.50
2021-01-19,1.50
2021-01-20,1.50
2021-01-21,1.51
2021-01-22,1.51
2021-01-25,1.49
2021-01-26,1.50
2021-01-27,1.49
2021-01-28,1.51
2021-01-29,1.53
2021-01-31,1.56
2021-02-01,1.54
2021-02-02,1.56
2021-02-03,1.57
2021-02-04,1.58
2021-02-05,1.59
2021-02-08,1.57
2021-02-09,1.57
2021-02-10,1.55
2021-02-11,1.57
2021-02-12,1.59
2021-02-15,1.59
2021-02-16,1.64
2021-02-17,1.63
2021-02-18,1.62
2021-02-19,1.66
2021-02-22,1.68
2021-02-23,1.70
2021-02-24,1.72
2021-02-25,1.81
2021-02-26,1.77
2021-02-28,1.79
2021-03-01,1.78
2021-03-02,1.76
2021-03-03,1.80
2021-03-04,1.85
2021-03-05,1.87
2021-03-08,1.91
2021-03-09,1.90
2021-03-10,1.88
2021-03-11,1.87
2021-03-12,1.93
2021-03-15,1.92
2021-03-16,1.92
2021-03-17,1.92
2021-03-18,1.96
2021-03-19,1.95
2021-03-22,1.92
2021-03-23,1.90
2021-03-24,1.89
2021-03-25,1.89
2021-03-26,1.91
2021-03-29,1.93
2021-03-30,1.92
2021-03-31,1.96
2021-04-01,1.90
2021-04-02,.
2021-04-05,1.92
2021-04-06,1.88
2021-04-07,1.87
2021-04-08,1.86
2021-04-09,1.87
2021-04-12,1.88
2021-04-13,1.85
2021-04-14,1.85
2021-04-15,1.79
2021-04-16,1.82
2021-04-19,1.84
2021-04-20,1.82
2021-04-21,1.82
2021-04-22,1.81
2021-04-23,1.82
2021-04-26,1.82
2021-04-27,1.85
2021-04-28,1.84
2021-04-29,1.85
2021-04-30,1.86
2021-05-03,1.83
2021-05-04,1.83
2021-05-05,1.82
2021-05-06,1.80
2021-05-07,1.80
2021-05-10,1.81
2021-05-11,1.84
2021-05-12,1.88
2021-05-13,1.87
2021-05-14,1.84
2021-05-17,1.84
2021-05-18,1.84
2021-05-19,1.87
2021-05-20,1.83
2021-05-21,1.83
2021-05-24,1.80
2021-05-25,1.77
2021-05-26,1.78
2021-05-27,1.80
2021-05-28,1.79
2021-05-31,1.81
2021-06-01,1.82
2021-06-02,1.81
2021-06-03,1.84
2021-06-04,1.79
2021-06-07,1.80
2021-06-08,1.78
2021-06-09,1.75
2021-06-10,1.74
2021-06-11,1.74
2021-06-14,1.76
2021-06-15,1.76
2021-06-16,1.81
2021-06-17,1.77
2021-06-18,1.75
2021-06-21,1.78
2021-06-22,1.77
2021-06-23,1.78
2021-06-24,1.78
2021-06-25,1.81
2021-06-28,1.76
2021-06-29,1.76
2021-06-30,1.76
2021-07-01,1.78
2021-07-02,1.75
2021-07-05,1.75
2021-07-06,1.71
2021-07-07,1.69
2021-07-08,1.67
2021-07-09,1.72
2021-07-12,1.73
2021-07-13,1.77
2021-07-14,1.73
2021-07-15,1.70
2021-07-16,1.71
2021-07-19,1.64
2021-07-20,1.66
2021-07-21,1.70
2021-07-22,1.68
2021-07-23,1.69
2021-07-26,1.69
2021-07-27,1.66
2021-07-28,1.68
2021-07-29,1.67
2021-07-30,1.65
2021-07-31,1.67
2021-08-02,1.64
2021-08-03,1.64
2021-08-04,1.64
2021-08-05,1.67
2021-08-06,1.72
2021-08-09,1.74
2021-08-10,1.76
2021-08-11,1.77
2021-08-12,1.78
2021-08-13,1.73
2021-08-16,1.70
2021-08-17,1.71
2021-08-18,1.71
2021-08-19,1.71
2021-08-20,1.72
2021-08-23,1.71
