,public_date,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
76647,2021-12-31,0.07870763525508366,5.30625728721337,0.6459590234865382,3.948309366498251,0.7193305694930048,0.02664053885107847,0.6879798267658057,4.476208147781627,13.192532485955853,0.1731040338667674
77042,2021-12-31,0.2385560798741635,28.947791164658636,2.400373599003736,24.538152610441767,0.5328342445704696,0.2115502616856163,0.2534622508453839,0.5423930859782446,2.125222904695859,1.3438667496886676
77666,2021-12-31,0.173447260162624,15.685323383084578,0.9120033829363081,8.348258706467663,0.1967607982417942,0.1280700613470334,0.6680623102583896,1.8692889369002987,1.560090702947846,0.3396629145607217
77914,2021-12-31,0.06403527799728309,1.947033990461087,0.5820279329822033,2.488184514607563,0.802723065805382,0.1111343955362264,0.8053452629283961,6.8905402035176975,6.779171098869737,0.2356146976194373
79382,2021-12-31,0.1441041498021066,4.626142742582196,0.717567285880694,-2.0811547714514833,1.4681866445018141,-0.1113377804308391,0.630341362063578,3.2825104541604917,1.115868433806022,0.08460548096376679
79657,2021-12-31,0.01686075360152068,,,,0.7118180453732647,0.330980707745177,0.9078949368914249,10.177846425419242,0.08488724144761042,
79663,2021-12-31,0.2101147055854554,15.962,1.2605832815237665,12.974,0.1430460885378328,0.1694785710241748,0.7079938673741163,1.946090826337615,3.54264697928498,0.6049850223252133
79976,2021-12-31,0.2046224673412634,8.05045871559633,0.9074789724937485,6.761467889908257,,0.154603643525357,1.0367372069688954,2.7035175879396984,2.742616033755274,0.4658634538152611
80451,2021-12-31,0.232391440581894,25.187919463087248,2.0906239498151673,21.41275167785235,0.05499966217177456,0.1316894700381018,0.6612920819754837,1.5530844746091383,3.720382746051033,1.442561890892797
80944,2021-12-31,0.1926190427395351,24.131144325448197,1.8806786800001796,18.824643991997174,0.1520359250845131,0.192348771848723,0.4304531225723504,1.3234127480841713,3.0923624856842116,0.6734980713705169
81623,2021-12-31,0.154906513503605,12.701067615658364,1.9540812223562525,8.03202846975089,0.5757256862229239,0.1617948088102841,0.4155448108287211,1.0303723572104766,2.8139441698944836,1.704302372336148
81925,2021-12-31,0.1409390703517588,6.5756630265210605,0.9788871554862194,5.549141965678627,0.3602867582700387,0.2684341342170671,0.6239127739679101,2.572701949860724,23.236479321314953,0.5458138325533022
82311,2021-12-31,0.07890617734618258,2.998820406959599,0.5486416147532296,2.484517841344736,0.6723042812828358,0.1070608251807741,0.7194466647411657,5.456066113824833,8.116445916114792,0.04345419645065181
82599,2021-12-31,0.09777321000342583,4.109022556390977,0.7347432441772065,3.2669172932330826,0.4741804195976453,0.0575766256087081,0.7279305603300104,4.209180098107919,3.5437083496667974,0.1958670260557053
82858,2021-12-31,0.02280233163821236,,,,0.491956997113339,0.2169565080662914,0.9305972651164334,2.655894422682335,-49.38461538461538,
83481,2021-12-31,0.1234679351411409,7.0,1.4122521707158413,8.933104631217839,0.1996754887668183,0.1241944146079484,0.7435555816410376,2.7687945256842896,33.60763267740012,0.464405916791583
83561,2021-12-31,0.06725637863104539,3.5312710154673836,0.5874237880225991,3.092945510257754,0.6671911336370728,0.1233217941977753,0.6931716748575536,6.087395058560916,26.697767378176504,0.0225221245033773
