gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Materials,2017-02-28,CLW,0.1329864362017628,3.7928805563214167,0.5142038633635273,2.5180590019299696,0.5755823521266346,0.0285652852868086,0.7210346829800599,3.3000791357810795,5.435761542984646,0.0627551020408163,BB,0,1,0,0,0,0,0,0,0,0
Information Technology,2017-02-28,XRX,0.0801638657418183,3.763754045307443,1.321658788139235,2.9935275080906147,0.5509574212053394,0.0571906044007056,0.7214108569853954,3.667828106852497,6.596747055524397,0.4974215728405673,BBB-,1,0,0,0,0,0,0,1,0,0
Materials,2017-02-28,MTX,0.1175000855666222,4.54416961130742,1.909306260575296,3.356890459363957,0.4609776479701048,0.0814407814407814,0.6399734581267025,3.1540926303524617,5.71765322158198,0.6446700507614214,BB,0,1,0,0,0,0,0,0,0,0
Materials,2017-02-28,DD,0.1291753975101689,10.762162162162165,1.2862762729009778,7.781081081081081,0.1603456147823419,0.1013164270715555,0.7448703833450105,1.6290076335877863,2.361804791331584,0.670675508598404,BBB,1,1,0,0,0,0,0,0,0,0
Industrials,2017-02-28,COL,0.163453313153912,15.727272727272728,0.6268354430379747,12.196969696969695,0.181488382765428,0.1398826424380087,0.7259401932619483,1.892109500805153,1.6221968833143292,0.1270886075949367,A-,1,0,1,0,0,0,0,0,0,0
Industrials,2017-02-28,MIC,0.0820798869680784,2.7463675780147607,0.8493998223171281,2.337355579690934,0.5741944411558592,0.0946770388156425,0.583618381340061,5.023965106074792,21.8918457752256,0.2437641678186838,BBB-,1,0,1,0,0,0,0,0,0,0
Industrials,2017-02-28,ROCK,0.1381734795635218,6.849881073734285,1.982963810425544,3.291471287801563,0.3795898964878298,0.0334520194329059,0.4980860227934811,1.67830437915299,7.414470941170488,1.1189377202672135,BB,0,0,1,0,0,0,0,0,0,0
Information Technology,2017-02-28,MU,0.1303157651231831,0.7625,1.3864296081277214,0.3708333333333333,0.6042379049423914,-0.0231968661187495,0.5108119705959178,2.722263313609468,2.628458851974568,0.9114140576404728,BB,0,0,0,0,0,0,0,1,0,0
Health Care,2017-02-28,ABBV,0.1878320422328345,9.785714285714286,1.507310090992741,6.824853228962818,0.1155799668877855,0.2321943989390748,0.929862781585198,3.292403932082216,2.787227315839393,0.6566813209283304,A-,1,0,0,0,0,1,0,0,0,0
Information Technology,2017-02-28,TSS,0.1853234962713917,5.94337978268901,2.392237000806465,4.027935924519007,0.2801093201836013,0.076650383194363,0.6663597320652568,3.5334273058901253,175.81004997051429,1.0118971435912196,BBB-,1,0,0,0,0,0,0,1,0,0
Consumer Staples,2017-02-28,INGR,0.1882829771554901,10.727272727272728,1.4959100204498978,7.298701298701299,0.3023587483366291,0.0805380272334772,0.551193358699412,1.913894324853229,5.460106382978723,0.5276073619631901,BBB,1,0,0,0,1,0,0,0,0,0
Energy,2017-02-28,WMB,0.0740076156695008,1.4658997534921938,0.4489657511020685,0.6516023007395234,0.3802611860415329,-0.0565408721162821,0.7000960819899648,6.62588102621934,24.943396226415093,0.0576466598847066,BB,0,0,0,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,GM,0.1060185963816343,4.238652482269504,0.7327338256183891,4.34290780141844,0.8388059701492536,0.0566594542613294,0.8011863412873833,3.8357430993065313,9.647720673635307,0.3100926262899003,BBB,1,0,0,1,0,0,0,0,0,0
Materials,2017-02-28,SHLM,0.1015403154297509,2.561467075830961,1.1101945056692948,-5.712999593300551,0.0798829991945847,-0.1484122436535112,0.8152111095757288,4.496708588053325,6.95397913635792,0.1063691517644118,B+,0,1,0,0,0,0,0,0,0,0
Energy,2017-02-28,WPX,-0.0014089919303189,-3.3399014778325125,1.0605612998522895,-2.0147783251231526,0.692315182011991,-0.8831168831168831,0.522852422907489,-234.0909090909091,10.547368421052632,0.7474150664697193,B+,0,0,0,0,0,0,0,0,0,0
