,gsector,gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
279509,35.0,Health Care,2017-02-28,ESRX,0.134146504083316,9.215359536315884,0.6333294781502427,7.166274225683753,0.4763069162132408,0.0339464040882462,0.6860792078059866,2.2108095826410485,45.982572009743606,0.1873132011614246
279795,25.0,Consumer Discretionary,2017-02-28,SBUX,0.3657208497434061,44.10835214446953,0.7354936547210471,33.527088036117384,0.0716481056797569,0.1329577906649504,0.5884013352980105,0.6825718947583113,11.781109790236608,0.4659190677627903
279931,45.0,Information Technology,2017-02-28,PMTS,0.1784559807479446,1.5806226302135302,2.07075632157841,1.2693574136898822,,0.0174894719792679,1.3603093563270554,6.211236602275299,8.712924081850296,1.0475960993309898
280132,60.0,Real Estate,2017-02-28,KW,0.0274131980757163,0.0600208768267223,,1.0292275574112737,0.4416926691450064,0.0079613306795564,0.6940763275058427,23.331902718168813,,
280590,45.0,Information Technology,2017-02-28,KEM,0.1244196681455564,1.1975566225082326,1.6011521029751186,0.4947839420829038,0.304552885879984,-0.0270062537120497,0.8620721811550535,4.514605752527078,3.213007644474784,0.6024040147217937
280741,20.0,Industrials,2017-02-28,ASGN,0.1465971055468023,6.221713704551233,2.6924719536735613,4.089117721840834,0.4051743530550909,0.0398276849041535,0.5042189988172311,2.481909545791038,,0.1664256395423972
280807,35.0,Health Care,2017-02-28,SGRY,0.1093212005869923,2.004474450885444,1.7843245414379436,1.093993298266896,0.0125912326012605,0.0082527382538382,0.7808224705179009,5.980861978162335,30.34612271924661,0.4314901593252108
280964,20.0,Industrials,2017-02-28,SITE,0.1504995394317296,3.954285714285714,1.0803234501347707,2.7485714285714287,0.1228074710390628,0.0185657080451401,0.7996229464045246,3.6393596986817327,4.077407740774078,0.0878706199460916
281358,15.0,Materials,2017-02-28,MTX,0.1175000855666222,4.54416961130742,1.909306260575296,3.356890459363957,0.4609776479701048,0.0814407814407814,0.6399734581267025,3.1540926303524617,5.71765322158198,0.6446700507614214
281641,45.0,Information Technology,2017-02-28,MTCH,0.0871941389369512,2.6595454128860783,2.58307540917425,0.619934011547979,0.4131180987290702,-0.0132071842190247,0.5601478990062795,3.729439007645136,,1.9884396709784855
281901,40.0,Financials,2017-02-28,RDN,0.1156570456296825,7.893457575309372,,4.799400976186954,0.7446774127954855,0.2489018548962737,0.5101141463650917,1.6075213464535802,,
282181,10.0,Energy,2017-02-28,CKH,0.0312814373633787,-0.444727816374989,2.0165698515200745,-2.164438777005833,1.0879996060445458,-0.2598085404670361,0.5820636469494512,10.914072163313635,28.781829999277825,1.4046017153715782
282211,10.0,Energy,2017-02-28,GPOR,-0.164363308806611,-11.945155342744709,4.180666503817428,-12.480131539117751,0.6353914478366119,-2.5386981420538466,0.4828754399860767,-2.5661346698458747,,3.7963145831492615
282342,10.0,Energy,2017-02-28,SM,-0.0062993782684766,-5.173664828190724,0.541081768520035,-3.3129848766855075,0.7332315090123711,-0.641951378204911,0.6094269643080304,-76.56629848853186,,0.0225737766516046
282419,45.0,Information Technology,2017-02-28,HPE,0.0934084710063436,11.408536585365852,1.204695752518752,10.63719512195122,0.8437208210100177,0.0630648604433094,0.6044378066993813,2.1471331648263936,16.358006042296072,0.5764058408415073
282480,25.0,Consumer Discretionary,2017-02-28,HOME,0.0899268066301572,2.10715106166519,0.0778619873724653,3.3163335630599597,0.7616877362040283,0.0984905676174634,0.6315371671244732,5.084005506059714,2.2425426175698475,0.0353114128079279
282547,45.0,Information Technology,2017-02-28,MTCH,0.1790770577757203,3.6688520203371686,1.183529976787001,3.0854234072055853,0.1193440658171679,0.1402432340907269,0.7546788709597116,3.3058049324645182,,0.812137997278476
282605,15.0,Materials,2017-02-28,GCP,0.2374538457538093,2.973684210526316,1.3874799357945422,2.1269349845201235,,0.0536952352854403,1.1275463387777571,3.6395094174332017,6.97135301895108,0.5242375601926164
282667,20.0,Industrials,2017-02-28,FTV,0.1876704501181787,25.879591836734694,1.325673371974088,18.802040816326528,0.1448954501082094,0.1401442732516106,0.6714205475103178,2.3237146218254794,5.632599531615925,0.5476986021138766
282738,55.0,Utilities,2017-02-28,AGR,0.0647199123315928,4.145833333333333,0.6910029498525073,3.1875,1.5933831672049543,0.1046859421734796,0.5170078891053691,2.5,10.242656449553,0.0346607669616519
282785,45.0,Information Technology,2017-02-28,CSRA,0.1523910628953315,4.128741068038248,0.9684302449197392,2.6840156719251618,0.0996235133011611,0.0388011890677351,0.959853463518846,3.853749823534522,,0.1195265930765559
282799,15.0,Materials,2017-02-28,AA,0.0668395970320323,1.466165413533835,0.7164126196384261,-0.5037593984962406,1.1007061479644038,-0.042927666881305,0.5402305716504391,1.3041516245487366,6.773584905660377,0.3023750443105282
282858,10.0,Energy,2017-02-28,XOG,-0.0395210046988899,-5.764434602785352,2.3622294179138725,-7.345094522628698,0.5000906906761448,-1.6397664057190324,0.3646842690399515,-6.16286074209803,20.434010375450622,2.144390577933833
282909,15.0,Materials,2017-02-28,VVV,0.309208290859667,21.94736842105263,1.320289489186233,15.736842105263158,,0.1427115188583079,0.9742096505823626,1.6362637362637362,8.314121037463979,0.3433476394849786
283036,45.0,Information Technology,2017-02-28,VSM,0.3438760348121418,23.336134453781515,2.7465346534653463,17.60504201680672,,0.198513160538477,0.6720063360670397,1.5223765432098764,4.065143992055611,1.097029702970297
283101,20.0,Industrials,2017-02-28,HRI,0.1394739523442163,0.995249406175772,1.4310415808974886,0.7660332541567696,0.8884954880126138,-0.012670439927965,0.9082666820662372,4.580045919432268,34.512931034482754,0.1276245368464389
283359,40.0,Financials,2017-02-28,DFIN,0.1776788199276371,9.5327868852459,1.64247311827957,5.844262295081967,0.1483018041828851,0.0600915099135739,0.886505261007253,3.677944862155389,26.738660907127432,0.1946236559139785
283552,10.0,Energy,2017-02-28,CHK,-0.1546157643574132,-6.318098720292505,0.5315241228070176,-7.045703839122487,,-0.5590701219512195,1.092339576297206,-4.444870157513836,,0.2417763157894737
283900,35.0,Health Care,2017-02-28,HUM,0.1142891359453903,12.687830687830688,2.069803119406801,4.248677248677248,0.3507568369889508,0.0111774557634894,0.5792644510946606,1.4292699965071602,,1.4666325747890565
