,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
246130,2017-02-28,SLGN,0.146087656882951,4.617429049377019,0.4168073564818844,3.2114530456852792,0.2725154306274769,0.0424452394936608,0.8509505015256923,3.3709365805430767,4.770234123764013,0.02864850752763032
246280,2017-02-28,MTN,0.1801348837059322,6.483068480621927,0.4657804518039324,4.355527609466103,0.2249953864096208,0.09123746335058355,0.627336125155436,1.9216171857169069,13.26233535203995,0.1577014812645619
246993,2017-02-28,EEFT,0.1346636263231345,8.81593251447127,1.2779857518446274,7.156113228857828,0.2490896795992702,0.0890501706563056,0.6680429448938248,1.8288899249777473,19.47724383083815,0.6887354762106692
247089,2017-02-28,AMZN,0.1439743090173737,8.400826446280991,0.7832755157933176,5.898760330578512,0.0550116317855682,0.01743549015714737,0.7687705330807415,1.9048063462435838,7.547272392185772,0.5929569107175461
247172,2017-02-28,TTWO,0.02090022035719693,0.7536456434560703,1.4364250879088503,1.438145582695346,0.1652306579698107,0.009096769391660644,0.7750685150006034,7.9325601374570445,27.583945561845116,1.0392673545268667
247418,2017-02-28,QRVO,0.1209516370769125,2.014326250951623,2.2840048942860522,-0.3380579970932246,0.7509448082574381,-0.03224791678550972,0.2546233330591536,1.2086445618509747,3.373000810400018,1.0654944939281905
247528,2017-02-28,SRPT,-0.7352404260867822,,4.7819336533107055,,0.2241559087762127,-49.30178933776055,0.2061121800313131,-0.06294897430200695,0.6817363878729209,4.356023441436186
247701,2017-02-28,RL,0.1628198391204171,38.44444444444444,1.5510078157136982,9.11111111111111,0.4881265637829486,0.02098304110376545,0.4041208340174027,0.9468718967229395,2.6136162687886824,0.9366515837104072
248278,2017-02-28,JLL,0.09409768681459235,11.23841059602649,1.1123959141017428,8.024282560706402,0.615354635671005,0.04676798259795996,0.6301806170865336,2.8386848978337684,,0.1114856892424906
248492,2017-02-28,BFAM,0.12617955019095,4.632554354144867,0.3983667887919913,3.203464713405418,0.1938428145587426,0.06036280107348452,0.7084094773373826,4.009599060831544,,0.03775478610867434
248699,2017-02-28,UMPQ,0.02182889890947621,,,,0.947247142429987,0.1924203211851519,0.8421482200605253,2.9814571928223845,0.2763462016987371,
249099,2017-02-28,YUM,0.3084188002656238,5.357357357357357,1.056245434623813,3.984984984984985,,0.1561420043983663,2.032493610806864,4.366985645933014,24.09056603773585,0.5544192841490139
249197,2017-02-28,SPB,0.1107253867914644,3.0295113691340103,0.9306407917288663,2.4334784712143205,0.3203110655838624,0.06698770121179237,0.7489013753478831,4.8119164774161,3.0873136598722235,0.1850500359374136
249734,2017-02-28,CHH,0.3161535236556358,5.3792070799624545,1.3079820076763202,4.114714164394583,,0.1507298508285919,1.3652324779346556,3.3881933751985103,,0.7678709589332038
249909,2017-02-28,CHRW,0.2654786386027244,,1.061298096458939,,0.1278408650026541,0.03905720247834574,0.6589128136933063,1.3593510195132645,,0.1341840952951643
250198,2017-02-28,MTD,0.2941216105467233,19.515628345108116,1.148459188276044,14.714764861200315,0.0458408000961387,0.1532418727427054,0.7992672988498586,1.4525547208069045,4.76676213825814,0.2700765086848846
250513,2017-02-28,INGR,0.1882829771554901,10.727272727272727,1.4959100204498978,7.298701298701299,0.3023587483366291,0.08053802723347725,0.551193358699412,1.913894324853229,5.460106382978723,0.5276073619631901
250870,2017-02-28,URI,0.2250841261268747,3.5707317073170732,1.0920608108108107,2.3804878048780487,0.3985533879514316,0.0982297813259285,0.8625291958625292,2.8755998523440383,34.07299270072993,0.2635135135135135
250920,2017-02-28,AMG,0.1045246433085963,7.668054110301769,,5.919875130072841,0.5195599689749724,0.2154378930101158,0.417082899955424,2.441384099062608,,
251482,2017-02-28,VRSN,0.3174296492409174,5.941054307569832,1.2105149384112082,4.8129953964902565,,0.3857973483737492,1.5142677115976717,2.5068554218323467,,1.18131882211559
251623,2017-02-28,PWR,0.1022194060677153,22.716598374420634,1.4328317961414767,14.348895009068315,0.6702294992619008,0.02597264602351568,0.3756695621023227,0.6686175146776473,13.545656759026734,0.09308031343447049
251906,2017-02-28,MRCY,0.1033633500693621,7.0827021494370515,2.934617846626553,5.272057318321392,0.4188257763531575,0.06192746987308267,0.3152323020211588,2.430757683696316,3.0431310843133796,1.2351598173515983
252382,2017-02-28,COLM,0.1640000756467473,246.4053794428434,2.5465714577057796,185.34005763688762,0.3831914206315849,0.08038322968019372,0.2146999792441906,0.04439789715787745,2.63277088788458,1.5209025192158765
252599,2017-02-28,MANH,0.6393397706014626,,1.7597137101229992,,0.04548760631005265,0.2054959251154151,0.4300127885845056,0.0,,0.8127555400661323
252907,2017-02-28,RH,0.08507449593235665,2.419001362317124,1.0608587534928349,1.5778396414539282,0.7640285050048391,0.01333121979727363,0.5753047735431255,4.082921058902292,1.8423706118495444,0.7434314513686925
252970,2017-02-28,CIEN,0.1068268485500564,2.9461133860491384,1.9730429147110204,2.2811352725218867,0.2829179730479505,0.0279107719721769,0.734134806528631,4.327330462249045,5.6325514155337535,1.1805223229602788
253274,2017-02-28,CSGP,0.1008621138414223,14.467352236421725,4.049739909387787,9.493510383386582,0.2721485308231923,0.1015615486551341,0.2429449402603037,1.5731575766029666,,3.6607785938326898
253550,2017-02-28,RSG,0.1288088373763553,4.7310491206792,0.6846026490066225,2.8574893875075804,0.397221058763803,0.06525560041330677,0.6270552991817583,2.8859037642714496,139.22705314009661,0.03741721854304635
254074,2017-02-28,CTSH,0.1960669511186575,122.05263157894737,3.5566583953680726,82.73684210526316,0.3150920089801516,0.1151479202194706,0.2477913336137989,0.3277342291899963,,2.1377171215880892
254238,2017-02-28,GS,0.02044192476590999,2.6561049767962874,,2.183869419107057,0.7620525420578701,0.19522879611548,0.8983927502281539,24.93936121845874,0.06881937710631776,
254516,2017-02-28,EBAY,0.1434473481936971,10.333333333333334,2.306992461658435,33.37777777777778,0.3715796130701083,0.8113375654304488,0.5580576173103535,3.0006697923643673,,1.8583311671432285
254862,2017-02-28,PB,0.02281314077297731,,,,0.7302053491302652,0.3455862725445856,0.8368949327645354,2.5908652611195637,1.9372602186517438,
255149,2017-02-28,NVDA,0.2331604437879985,29.627450980392158,2.6475588491717525,24.92156862745098,0.1411019719860963,0.1987618116650375,0.4084181166999461,1.0743959929286977,4.743538767395626,2.3257410636442892
